stage,mean_ms,median_ms,p95_ms,p99_ms
read_decode,12.228351,11.734089,13.848711,20.067589
resize,2.625346,2.594744,2.715413,2.814678
normalize,0.563867,0.555470,0.655752,0.689462
patch,0.803474,0.790819,0.905499,0.944060
quantize,0.672608,0.661831,0.774404,0.824647
buffer_prep,0.332256,0.327409,0.355409,0.435740
kernel,0.934983,0.934880,0.942836,1.008286
readback,0.375332,0.365384,0.456782,0.509411
total,18.693036,18.238871,20.439074,26.566726
