key,shape,numel,min,max,mean,std
backbone.position_embedding,"[1, 16, 16]",256,-0.26435500383377075,0.2589417099952698,0.0008665062487125397,0.07974930852651596
backbone.input_projection.weight,"[16, 64]",1024,-0.19132833182811737,0.2008565068244934,-0.0020528454333543777,0.08369497954845428
backbone.input_projection.bias,[16],16,-0.1312219798564911,0.13226257264614105,-0.00710886949673295,0.08628437668085098
backbone.layers.0.attention.query.weight,"[16, 16]",256,-1.2042344808578491,1.6102443933486938,0.005196273326873779,0.3725639879703522
backbone.layers.0.attention.key.weight,"[16, 16]",256,-0.7402576208114624,0.8478437066078186,0.028857238590717316,0.3373832404613495
backbone.layers.0.attention.value.weight,"[16, 16]",256,-0.4923308789730072,0.4322126507759094,0.002839781576767564,0.2504833936691284
backbone.layers.0.attention.output.weight,"[16, 16]",256,-0.48821061849594116,0.4922698736190796,0.003937581554055214,0.23084692656993866
backbone.layers.0.attention.output.bias,[16],16,-0.028338899835944176,0.041333455592393875,-0.0014798680786043406,0.017698660492897034
backbone.layers.0.feedforward.0.weight,"[32, 16]",512,-0.5869386792182922,0.5492451786994934,-0.006828682962805033,0.1893598735332489
backbone.layers.0.feedforward.0.bias,[32],32,-0.33767616748809814,0.19701415300369263,0.0072335610166192055,0.1443430483341217
backbone.layers.0.feedforward.3.weight,"[16, 32]",512,-0.38886958360671997,0.4738999605178833,0.0033152443356812,0.15046827495098114
backbone.layers.0.feedforward.3.bias,[16],16,-0.22694852948188782,0.16705192625522614,-0.006693951785564423,0.11535347253084183
backbone.layers.0.norm1.weight,[16],16,0.915851891040802,1.1464582681655884,1.0230591297149658,0.06146857887506485
backbone.layers.0.norm1.bias,[16],16,-0.0732085257768631,0.0618913434445858,0.0001295553520321846,0.03967813402414322
backbone.layers.0.norm2.weight,[16],16,0.6952507495880127,1.2436951398849487,0.9873929023742676,0.12246592342853546
backbone.layers.0.norm2.bias,[16],16,-0.029471756890416145,0.0619780570268631,0.002086050808429718,0.026897311210632324
backbone.output_norm.weight,[16],16,0.9521280527114868,1.3728517293930054,1.1187944412231445,0.11938510090112686
backbone.output_norm.bias,[16],16,-0.11132600903511047,0.08949505537748337,-0.01295103132724762,0.08368537575006485
backbone.classifier.weight,"[2, 16]",32,-0.3929155766963959,0.5458113551139832,0.023094136267900467,0.24503304064273834
backbone.classifier.bias,[2],2,-0.1411662995815277,-0.06892646849155426,-0.10504638403654099,0.036119915544986725
