metric,value
model_id,Ours-Q16-S10-AttnSparse
d_model,16
ff_dim,32
quant_bits,16
vivado_lut,TBD
vivado_dsp,TBD
vivado_ff,TBD
vivado_bram,TBD
software_accuracy,0.9518
io_dtype,"int16 (ap_fixed<16,6>)"
fp_scale,1024
n_correctness_samples,3444
prediction_match_rate_vs_Q16_ref,0.993902
hw_label_accuracy,0.941057
ref_label_accuracy,0.941928
max_abs_error_vs_Q16_ref,0.57545006
mean_abs_error_vs_Q16_ref,0.06695553
nan_samples,0
inf_samples,0
kernel_runtime_mean_us_100runs,1045.86039
kernel_runtime_std_us_100runs,762.014469
kernel_runtime_mean_us_1000runs,954.773148
kernel_runtime_std_us_1000runs,7.50042
total_runtime_mean_us_correctness,22419706.97
throughput_samples_per_sec,153.614853
latency_source,PYNQ_Z2_MEASURED
pynq_measured,True
speedup_vs_ViT4Mal_fastest,848.369062
speedup_vs_ViT4Mal_recommended,1550.106434
notes,"Ours-Q16-S10-AttnSparse (d=16/ff=32) PYNQ-Z2 full-test (3444 samples). ref_acc=0.9419. HW acc=0.9411. Match=0.9939. latency=954.77us. int16 I/O (ap_fixed<16,6>)."
speedup_vs_ViT4Mal_fastest_0p81s,848.369062
speedup_vs_ViT4Mal_recommended_1p48s,1550.106434
vit4mal_fastest_latency_us,810000.0
vit4mal_recommended_latency_us,1480000.0
speedup_formula,ViT4Mal_single_sample_latency_us / ours_latency_us_1000runs
speedup_note,"Corrected speedup uses per-sample PYNQ measured 1000-run mean kernel latency, not total correctness runtime."
