epoch,train_loss,val_loss,val_accuracy,val_precision,val_recall,val_f1,epoch_seconds
1,0.18767571114066398,0.15229450264293679,0.9350619724735761,0.9162982005141388,0.9955312255613898,0.9542728635682158,3.1890949759999785
2,0.13883128555173238,0.13245445530561067,0.9395483233214205,0.9263014844240016,0.989945257513127,0.9570664794513148,2.6395840619998125
3,0.13219233554519164,0.1252960645636264,0.939928522545814,0.9434362095196697,0.9698916322198637,0.9564810224205366,2.6604809430000387
4,0.12892377944801953,0.12280487977735952,0.9413352596760702,0.9472849565264942,0.9676572450005586,0.9573627345325928,3.8023549829999865
5,0.12668131707194966,0.12153415193703498,0.9411451600638735,0.9446921905590603,0.9703385096637247,0.9573436208321852,3.735222568000154
6,0.12548284501664475,0.12501036678577193,0.937495247509695,0.9604100589034889,0.9472126019439169,0.9537656786095956,5.713205970999752
7,0.12396516520074194,0.11933748257263524,0.9426279370390085,0.9466514086425808,0.9703943693442073,0.9583758585496372,2.8374487289997887
8,0.12333729151507611,0.1224140580895101,0.9385978252604364,0.9594876713874626,0.949893866607083,0.9546666666666667,5.202512563000255
9,0.12300184840590558,0.1214611982771919,0.942475857349251,0.939454067678447,0.978549882694671,0.9586035185641193,4.0442789680000715
10,0.12169399739142815,0.11802649254316559,0.9424378374268116,0.941772697864999,0.9757568986705396,0.9584636488340192,3.0686166909999884
11,0.12135841538458676,0.11798125153512123,0.9436544749448711,0.9526907807675342,0.9651435593788403,0.9588767412176036,3.358693115999813
12,0.12063058577943596,0.11611011247303211,0.9430461561858414,0.9522995478107422,0.9646408222544967,0.9584304584304584,3.0766776359996584
13,0.12000175720757647,0.12038371107526791,0.9421336780472968,0.9321443647108485,0.9868171154060998,0.9587019048135887,3.8423653419999937
14,0.1193895601091326,0.1151710453850218,0.9425138772716903,0.9345174973488866,0.9845268685063121,0.9588705728741636,3.6895953250000275
15,0.11870149828268686,0.11668524820207145,0.9432742757204775,0.9458754483208347,0.9722935984806167,0.9589026002644337,4.836285705000137
16,0.11861494567994682,0.11788120652349192,0.9429320964185233,0.9495148824206545,0.967601385320076,0.9584728178171256,3.8748515030001727
17,0.11808266096045397,0.11607100331661376,0.9438065546346286,0.944276130707639,0.9749748631437828,0.9593799813114934,2.728824535000058
18,0.11837487277525728,0.11527623893140287,0.9444148733936583,0.9460119370591427,0.9739135292146129,0.9597599911923372,2.702349450999918
19,0.1185107767585539,0.11549954234298286,0.9425518971941297,0.9582844041827434,0.9572673444307899,0.9577756043034792,3.327239284999905
20,0.11751079867134598,0.1143192652366196,0.944072694091704,0.9370179264854513,0.9839682717014858,0.9599193482466417,2.9105520800003433
