metric,value
model_id,Q16-QKSv2-D11
code_name,q16_qksv2_d11
attn_dim,11
effective_sparsity,31.25%
n_warmup,20
n_test_images,3444
e2e_scope,raw_IMG_DS_image_file_to_final_prediction_excluding_overlay_for_warm_latency
include_image_file_io,True
include_image_decode,True
include_resize,True
include_normalize,True
include_feature_transform,True
include_quantization,True
include_ps_pl_transfer,True
include_fpga_kernel,True
include_output_readback,True
include_argmax,True
include_overlay_loading,False
fpga_inference_time_s_mean,0.025113
fpga_inference_time_s_p50,0.024621
fpga_inference_time_s_p95,0.027651
fpga_inference_time_s_std,0.002814
fpga_inference_time_us_mean,25113.148
fpga_inference_time_us_p50,24620.686
fpga_inference_time_us_p95,27651.419
fpga_kernel_latency_us,941.421
cold_start_latency_us,3105425.306
accuracy,0.938444
precision,0.979993
recall,0.947404
f1,0.963423
prediction_match_rate,0.988966
speedup_vs_vit4mal_fastest_0p81s,32.254021
speedup_vs_vit4mal_selected_1p48s,58.933273
meets_30x_target,True
