variant,csynth_status,latency_min,latency_max,interval_min,interval_max,estimated_clock_ns,BRAM_18K,DSP48E,FF,LUT,URAM,timing_violation,BRAM_util_pct,DSP_util_pct,FF_util_pct,LUT_util_pct,pynq_resource_fit,report_path,log_path
v00_float_reference,PASS,7869,7869,7870,7870,8.567,176,258,71828,65546,0,False,62.857142857142854,117.27272727272727,67.50751879699249,123.20676691729324,False,/home/cym/prj2/finn/notebooks/icl_thesis-master/experiments/innovation1_csg_halt/results/hls_csynth/reports/v00_float_reference_csynth.rpt,/home/cym/prj2/finn/notebooks/icl_thesis-master/experiments/innovation1_csg_halt/results/hls_csynth/logs/v00_float_reference_csynth.log
v01_static_sparse_87p5_float,PASS,7784,7784,7785,7785,8.567,174,258,71771,65992,0,False,62.142857142857146,117.27272727272727,67.45394736842105,124.04511278195488,False,/home/cym/prj2/finn/notebooks/icl_thesis-master/experiments/innovation1_csg_halt/results/hls_csynth/reports/v01_static_sparse_87p5_float_csynth.rpt,/home/cym/prj2/finn/notebooks/icl_thesis-master/experiments/innovation1_csg_halt/results/hls_csynth/logs/v01_static_sparse_87p5_float_csynth.log
