sample_id,label,pytorch_score,x00,x01,x02,x03,x04,x05,x06,x07,x08,x09,x10,x11,x12,x13,x14,x15,fpga_score,latency_us,ap_ctrl,abs_error,rel_error,pytorch_pred,fpga_pred,pred_match
0,0,-1.0926461219787598,0.0578252375125885,0.4533582031726837,0.1014444380998611,0.4925373196601867,0.0752729177474975,0.447761207818985,0.0694570243358612,0.4608208835124969,0.0520093441009521,0.4533582031726837,0.0578252375125885,0.4682835936546325,0.0752729177474975,0.4757462739944458,0.0520093441009521,0.4496268630027771,-1.09265,0.0,0,3.878021240133478e-06,3.5492014863059787e-06,0,0,True
1,0,-0.8588064312934875,0.1014444380998611,0.4925373196601867,0.0752729177474975,0.447761207818985,0.0694570243358612,0.4608208835124969,0.0520093441009521,0.4533582031726837,0.0578252375125885,0.4682835936546325,0.0752729177474975,0.4757462739944458,0.0520093441009521,0.4496268630027771,0.0694570243358612,0.4757462739944458,-0.858804,0.0,0,2.431293487537012e-06,2.8310145324309342e-06,0,0,True
2,0,-0.901875138282776,0.0752729177474975,0.447761207818985,0.0694570243358612,0.4608208835124969,0.0520093441009521,0.4533582031726837,0.0578252375125885,0.4682835936546325,0.0752729177474975,0.4757462739944458,0.0520093441009521,0.4496268630027771,0.0694570243358612,0.4757462739944458,0.0694570243358612,0.4645522534847259,-0.901874,0.0,0,1.1382827760364478e-06,1.2621290106785803e-06,0,0,True
3,0,-1.2393139600753784,0.0694570243358612,0.4608208835124969,0.0520093441009521,0.4533582031726837,0.0578252375125885,0.4682835936546325,0.0752729177474975,0.4757462739944458,0.0520093441009521,0.4496268630027771,0.0694570243358612,0.4757462739944458,0.0694570243358612,0.4645522534847259,0.0694570243358612,0.4645522534847259,-1.23931,0.0,0,3.960075378506289e-06,3.195377044139345e-06,0,0,True
4,0,-1.4424697160720823,0.0520093441009521,0.4533582031726837,0.0578252375125885,0.4682835936546325,0.0752729177474975,0.4757462739944458,0.0520093441009521,0.4496268630027771,0.0694570243358612,0.4757462739944458,0.0694570243358612,0.4645522534847259,0.0694570243358612,0.4645522534847259,0.0723649710416793,0.466417908668518,-1.44247,0.0,0,2.8392791762144043e-07,1.9683457784790828e-07,0,0,True
5,0,-1.437233567237854,0.0578252375125885,0.4682835936546325,0.0752729177474975,0.4757462739944458,0.0520093441009521,0.4496268630027771,0.0694570243358612,0.4757462739944458,0.0694570243358612,0.4645522534847259,0.0694570243358612,0.4645522534847259,0.0723649710416793,0.466417908668518,0.0752729177474975,0.466417908668518,-1.43724,0.0,0,6.4327621460691375e-06,4.47579453521388e-06,0,0,True
6,0,-1.6668728590011597,0.0752729177474975,0.4757462739944458,0.0520093441009521,0.4496268630027771,0.0694570243358612,0.4757462739944458,0.0694570243358612,0.4645522534847259,0.0694570243358612,0.4645522534847259,0.0723649710416793,0.466417908668518,0.0752729177474975,0.466417908668518,0.0898126512765884,0.4738805890083313,-1.66687,0.0,0,2.8590011595941434e-06,1.715188500523875e-06,0,0,True
7,0,-1.4802913665771484,0.0520093441009521,0.4496268630027771,0.0694570243358612,0.4757462739944458,0.0694570243358612,0.4645522534847259,0.0694570243358612,0.4645522534847259,0.0723649710416793,0.466417908668518,0.0752729177474975,0.466417908668518,0.0898126512765884,0.4738805890083313,0.0781808644533157,0.4570895433425903,-1.48029,0.0,0,1.3665771483317712e-06,9.231811920187601e-07,0,0,True
8,0,-1.9152698516845703,0.0694570243358612,0.4757462739944458,0.0694570243358612,0.4645522534847259,0.0694570243358612,0.4645522534847259,0.0723649710416793,0.466417908668518,0.0752729177474975,0.466417908668518,0.0898126512765884,0.4738805890083313,0.0781808644533157,0.4570895433425903,0.0694570243358612,0.4589552283287048,-1.91527,0.0,0,1.4831542971549538e-07,7.743839834634527e-08,0,0,True
9,0,-1.6095454692840576,0.0694570243358612,0.4645522534847259,0.0694570243358612,0.4645522534847259,0.0723649710416793,0.466417908668518,0.0752729177474975,0.466417908668518,0.0898126512765884,0.4738805890083313,0.0781808644533157,0.4570895433425903,0.0694570243358612,0.4589552283287048,0.0752729177474975,0.4682835936546325,-1.60954,0.0,0,5.469284057646462e-06,3.398030165671092e-06,0,0,True
