method,score_type,selection_type,fixed_k,target_active_ratio,mean_active_tokens,effective_sparsity,accuracy,precision,recall,f1,prediction_match_rate_vs_dense,max_abs_error,mean_abs_error,skipped_token_ratio,mac_reduction_ratio,bram_read_reduction_ratio
Q16-ESLA,phi_k,fixed_topk,14,0.875,14.0,0.125,0.9523809523809523,0.9734603606668935,0.9708177807940278,0.9721372748895684,0.9802555168408827,1.3536912202835083,0.3229363262653351,0.125,0.08051082731815662,0.101010101010101
Q16-ESLA,phi_k,fixed_topk,13,0.8125,13.0,0.1875,0.9457026713124274,0.9633982538616521,0.9735324058364438,0.9684388185654008,0.9677700348432056,1.9914005994796753,0.45882341265678406,0.1875,0.12076624097723487,0.15909090909090906
Q16-ESLA,phi_k,fixed_topk,12,0.75,12.0,0.25,0.9439605110336817,0.9596128170894526,0.9755683746182559,0.967524819114925,0.9613821138211383,2.1165597438812256,0.6112368106842041,0.25,0.16102165463631313,0.21717171717171713
Q16-ESLA,phi_k,fixed_topk,11,0.6875,11.0,0.3125,0.9387340301974448,0.9535809018567639,0.9759077027485579,0.9646151266141204,0.9515098722415796,2.7757890224456787,0.740206241607666,0.3125,0.2012770682953915,0.2752525252525253
Q16-ESLA,phi_k,fixed_topk,10,0.625,10.0,0.375,0.93931475029036,0.953611663353214,0.9765863590091619,0.9649622799664711,0.9497677119628339,3.149238109588623,0.6927172541618347,0.375,0.24153248195446975,0.33333333333333337
Q16-ESLA,k,fixed_topk,14,0.875,14.0,0.125,0.9337979094076655,0.9785286870820133,0.9433322022395657,0.9606081548030407,0.9854819976771196,1.2901633977890015,0.29148927330970764,0.125,0.08051082731815662,0.101010101010101
Q16-ESLA,k,fixed_topk,13,0.8125,13.0,0.1875,0.9277003484320557,0.9773531493276716,0.9372242958941296,0.9568681794560887,0.9776422764227642,2.0005974769592285,0.4717671573162079,0.1875,0.12076624097723487,0.15909090909090906
Q16-ESLA,k,fixed_topk,12,0.75,12.0,0.25,0.926829268292683,0.9759802190038855,0.9375636240244316,0.956386292834891,0.9727061556329849,2.857503652572632,0.7016761898994446,0.25,0.16102165463631313,0.21717171717171713
Q16-ESLA,k,fixed_topk,11,0.6875,11.0,0.3125,0.9186991869918699,0.9733759318423855,0.9304377332880895,0.9514226231783482,0.9628339140534262,3.836036205291748,0.7839227914810181,0.3125,0.2012770682953915,0.2752525252525253
Q16-ESLA,k,fixed_topk,10,0.625,10.0,0.375,0.9018583042973287,0.9724737413980442,0.9110960298608755,0.9407848633496847,0.943089430894309,4.952212810516357,0.8739381432533264,0.375,0.24153248195446975,0.33333333333333337
