model_id,candidate_name,active_token_num,active_dim,latency_min_cycles,latency_max_cycles,latency_avg_cycles,interval_cycles,estimated_clock_ns,bram,dsp,ff,lut,csynth_pass,timing_estimate_pass,resource_source,csynth_report_path,estimated_fmax_mhz,note
Q16-ESLA-K13,q16_esla_k13,13,16,77400,77400,77400,VARIABLE,7.605,15,153,13809,29620,TRUE,MARGINAL,csynth report top-level row + sub-component summation,real_event_sparse/hls/q16_esla_k13/q16_esla_k13_csynth/solution1/syn/report/csynth.rpt,131.49,Top-level latency INDETERMINATE (reported as '-' in csynth.rpt due to data-dependent sort/compaction loops). ~77400 cycles is estimated from sub-component sum. See esla_hls_loop_latency_summary.csv for breakdown.
Q16-S0,dense,16,16,74084,74084,74084,74085,~7.9,13,156,9484,22056,TRUE,FALSE,csynth report top-level row,experiments/imgds_linear_sparse/stage2_dense_hls_baselines/q16_s0_pareto2/hls/imgds_linear_dense_q16_pareto2/solution1/syn/report/csynth.rpt,~126,Dense baseline. AP_MEMORY interface (non-AXI). Slack=-0.60 FAIL. Source: stage2_dense_hls_baselines/q16_s0_pareto2.
Q16-S30,channel_sparse,16,11,73832,73832,73832,73833,~7.9,13,156,11680,25700,TRUE,FALSE,csynth report top-level row,experiments/imgds_linear_sparse/final_paper_experiments/experiment1_sparse_board/hls_projects/q16_s30_attn_sparse/q16_s30_attn_sparse/solution1/syn/report/csynth.rpt,~126,Channel sparse ACTIVE_DIM=11. M_AXI interface. Slack=-0.60 FAIL.
