method,score_type,selection_type,target_active_ratio,threshold,mean_active_tokens,effective_sparsity,accuracy,precision,recall,f1,prediction_match_rate_vs_dense,max_abs_error,mean_abs_error,skipped_token_ratio,estimated_mac_reduction
Q16-Dense,none,dense,1.0,,16.0,0.0,0.9419279907084785,0.9770753733935394,0.9545300305395318,0.9656711294198421,1.0,0.0,0.0,0.0,0.0
Q16-ESLA,k,topk,0.7,,12.0,0.25,0.926829268292683,0.9759802190038855,0.9375636240244316,0.956386292834891,0.9727061556329849,2.857503652572632,0.7016761898994446,0.25,0.16102165463631313
Q16-ESLA,k,topk,0.8,,13.0,0.1875,0.9277003484320557,0.9773531493276716,0.9372242958941296,0.9568681794560887,0.9776422764227642,2.0005974769592285,0.4717671573162079,0.1875,0.12076624097723487
Q16-ESLA,k,topk,0.9,,15.0,0.0625,0.9343786295005807,0.9788806758183738,0.9436715303698676,0.9609536973047684,0.9872241579558653,0.7847998142242432,0.15788230299949646,0.0625,0.040255413659078254
Q16-ESLA,k,threshold,0.7,0.11747942268848421,11.254936120789779,0.2965664924506388,0.9242160278745645,0.9708976157082749,0.9395995928062436,0.9549922400413865,0.9706736353077816,3.5907440185546875,0.687203586101532,0.2965664924506388,0.1910145092963581
Q16-ESLA,k,threshold,0.8,0.09265014976263045,12.880952380952381,0.19494047619047616,0.9282810685249709,0.9760225669957687,0.9392602646759416,0.9572886045305206,0.9782229965156795,2.858894109725952,0.4329880177974701,0.19494047619047616,0.1255585521271252
Q16-ESLA,k,threshold,0.9,0.07118546888232227,14.420731707317072,0.09870426829268297,0.9352497096399536,0.976890756302521,0.9467254835425857,0.9615716008960883,0.990418118466899,2.6501693725585938,0.2212606817483902,0.09870426829268297,0.06357409840061756
Q16-ESLA,phi_k,topk,0.7,,12.0,0.25,0.9439605110336817,0.9596128170894526,0.9755683746182559,0.967524819114925,0.9613821138211383,2.1165597438812256,0.6112368106842041,0.25,0.16102165463631313
Q16-ESLA,phi_k,topk,0.8,,13.0,0.1875,0.9457026713124274,0.9633982538616521,0.9735324058364438,0.9684388185654008,0.9677700348432056,1.9914005994796753,0.45882341265678406,0.1875,0.12076624097723487
Q16-ESLA,phi_k,topk,0.9,,15.0,0.0625,0.9503484320557491,0.9753424657534246,0.9664065151001018,0.9708539287540481,0.9875145180023229,0.6487158536911011,0.18146049976348877,0.0625,0.040255413659078254
Q16-ESLA,phi_k,threshold,0.7,0.8689181983470917,11.119628339140535,0.3050232288037166,0.9407665505226481,0.9536883890175323,0.9782829996606719,0.9658291457286432,0.9483159117305459,3.9419901371002197,0.6924207806587219,0.3050232288037166,0.19646138001794078
Q16-ESLA,phi_k,threshold,0.8,0.7593336582183837,12.775551684088269,0.2015280197444832,0.9500580720092915,0.9692255664524856,0.9725144214455378,0.9708672086720866,0.9727061556329849,2.8797082901000977,0.514907956123352,0.2015280197444832,0.12980150077934505
Q16-ESLA,phi_k,threshold,0.9,0.6639313101768493,14.251451800232289,0.10928426248548195,0.9416376306620209,0.9757449757449758,0.9555480149304377,0.9655408880507458,0.9950638792102207,1.8160734176635742,0.2866193652153015,0.10928426248548195,0.07038853108448595
