metric,value
model_id,Q16-QKSv2-D16
code_name,q16_qksv2_d16
attn_dim,16
effective_sparsity,0%
n_warmup,20
n_test_images,3444
e2e_scope,raw_IMG_DS_image_file_to_final_prediction_excluding_overlay_for_warm_latency
include_image_file_io,True
include_image_decode,True
include_resize,True
include_normalize,True
include_feature_transform,True
include_quantization,True
include_ps_pl_transfer,True
include_fpga_kernel,True
include_output_readback,True
include_argmax,True
include_overlay_loading,False
fpga_inference_time_s_mean,0.018688
fpga_inference_time_s_p50,0.018381
fpga_inference_time_s_p95,0.020448
fpga_inference_time_s_std,0.001525
fpga_inference_time_us_mean,18687.825
fpga_inference_time_us_p50,18381.058
fpga_inference_time_us_p95,20448.252
fpga_kernel_latency_us,1031.842
cold_start_latency_us,3694417.416
accuracy,0.936411
precision,0.980959
recall,0.944011
f1,0.962130
prediction_match_rate,0.984611
speedup_vs_vit4mal_fastest_0p81s,43.343727
speedup_vs_vit4mal_selected_1p48s,79.195946
meets_30x_target,True
