metric,value
model_id,Ours-Q16-S30-AttnSparse
code_name,q16_s30_attn_sparse
d_model,16
ff_dim,32
quant_bits,16
active_dim,11
effective_sparsity,31.25%
vivado_lut,TBD
vivado_dsp,TBD
vivado_ff,TBD
vivado_bram,TBD
hw_label_accuracy,0.941347
ref_label_accuracy,0.941928
precision,0.977391
recall,0.953512
f1,0.965304
prediction_match_rate,0.994193
max_abs_error,0.48707807
mean_abs_error,0.07738497
nan_samples,0
inf_samples,0
latency_us_100runs,831.3013
latency_us_1000runs,829.2519
latency_std_1000runs,3.5992
total_runtime_us,7614439.1
throughput_samples_per_sec,452.3
speedup_vs_ViT4Mal_fastest_810ms,976.784015
speedup_vs_ViT4Mal_recommended_1480ms,1784.741162
latency_source,PYNQ_Z2_MEASURED
pynq_measured,True
per_sample_verified,True
notes,Q16 S30. LUT=TBD hw_acc=0.9413 F1=0.9653 latency=829.25us.
speedup_vs_ViT4Mal_fastest_0p81s,976.784015
speedup_vs_ViT4Mal_recommended_1p48s,1784.741162
vit4mal_fastest_latency_us,810000.0
vit4mal_recommended_latency_us,1480000.0
speedup_formula,ViT4Mal_single_sample_latency_us / ours_latency_us_1000runs
speedup_note,"Corrected speedup uses per-sample PYNQ measured 1000-run mean kernel latency, not total correctness runtime."
