sample_id,fpga_score,latency_us,ap_ctrl
0,-2.6849653720855713,110.31399981220602,14
1,-2.6413564682006836,106.12899995976477,14
2,-2.660701036453247,106.46100008671056,14
3,-2.6723790168762207,105.67400022409856,14
4,-2.692455291748047,102.42500002277666,14
5,-2.6897518634796143,105.53199990681605,14
6,-2.669675827026367,105.95100002319668,14
7,-2.691258668899536,106.79999968488119,14
8,-2.6771655082702637,103.42099994886667,14
9,-2.6735756397247314,127.10700002571684,14
10,-2.6735756397247314,105.82799995972891,14
11,-2.670428991317749,105.19999977987027,14
12,-2.666684150695801,104.88599991731462,14
13,-2.650352716445923,105.52699995969306,14
14,-2.659947633743286,103.4520000757766,14
15,-2.671780586242676,104.86800010767183,14
16,-2.6672823429107666,104.37599985380075,14
17,-2.6692326068878174,183.98100019112462,14
18,-2.666684150695801,102.34399996988941,14
19,-2.6723790168762207,103.23700007575098,14
20,-2.692455291748047,103.82199980085716,14
21,-2.680312156677246,105.53199990681605,14
22,-2.649001359939575,106.64000001270324,14
23,-2.618443727493286,103.90800025561475,14
24,-2.6168036460876465,104.909999663505,14
25,-2.6048154830932617,104.19700038255542,14
26,-2.6118621826171875,106.43699988577282,14
27,-2.5947775840759277,106.08599995975965,14
28,-2.588041067123413,105.12000017115497,14
29,-2.609468698501587,105.37200023463811,14
30,-2.651416063308716,106.03700002320693,14
31,-2.6585960388183594,105.98200015010661,14
32,-2.664889097213745,104.11099992779782,14
33,-2.6534996032714844,105.9940000232018,14
34,-2.638519763946533,104.54699986439664,14
35,-2.6329801082611084,105.96299989629188,14
36,-2.6072089672088623,103.92600006525754,14
37,-2.599275588989258,104.00000019217259,14
38,-2.5955307483673096,105.19399984332267,14
39,-2.629544973373413,104.31999999127584,14
40,-2.623540163040161,104.8429999173095,14
41,-2.662052631378174,104.73900010765647,14
42,-2.644658088684082,105.96300035103923,14
43,-2.6178455352783203,104.12300025564036,14
44,-2.6105103492736816,104.11699986434542,14
45,-2.619351863861084,106.46200007613515,14
46,-2.655759334564209,107.50799992820248,14
47,-2.6371681690216064,105.7730000866286,14
48,-2.6166486740112305,106.06199975882191,14
49,-2.660856008529663,106.28299969539512,14
50,-2.6163387298583984,103.76599993833224,14
51,-2.6124603748321533,103.69299980084179,14
52,-2.6230967044830322,103.37300000173855,14
53,-2.5997190475463867,106.45600013958756,14
54,-2.61381196975708,105.11999971640762,14
55,-2.607962131500244,106.95399987525889,14
56,-2.6470730304718018,104.6090001182165,14
57,-2.6517045497894287,105.44599990680581,14
58,-2.6164937019348145,106.03100008665933,14
59,-2.6319382190704346,107.72299992822809,14
60,-2.6172468662261963,105.76000022410881,14
61,-2.5758979320526123,104.81799972694716,14
62,-2.5498385429382324,106.33800002324278,14
63,-2.5462486743927,104.14799999125535,14
64,-2.5493953227996826,107.69899972729036,14
65,-2.5279674530029297,103.19400007574586,14
66,-2.552098512649536,105.5500001712062,14
67,-2.5228707790374756,107.26199980126694,14
68,-2.557194948196411,106.84900007618126,14
69,-2.561826705932617,105.13899997022236,14
70,-2.520322561264038,106.22199988574721,14
71,-2.5660367012023926,104.70100005477434,14
72,-2.566768169403076,104.89199985386222,14
73,-2.609025478363037,106.49900013959268,14
74,-2.573349714279175,107.05199974836432,14
75,-2.55238676071167,103.10200013918802,14
76,-2.531114101409912,105.04600004423992,14
77,-2.546403646469116,107.52600019259262,14
78,-2.5562868118286133,107.03299994929694,14
79,-2.5700697898864746,105.52700041444041,14
80,-2.578756093978882,114.3079998655594,14
81,-2.54219388961792,106.60299994924571,14
82,-2.583261489868164,104.03099986433517,14
83,-2.5821502208709717,174.3140001053689,14
84,-2.5515120029449463,107.3290000022098,14
85,-2.577684164047241,106.25799995978014,14
86,-2.5490853786468506,140.35700041858945,14
87,-2.5330638885498047,104.48600005474873,14
88,-2.5564417839050293,105.04000010769232,14
89,-2.5297622680664062,182.15999989479315,14
90,-2.531121253967285,104.94199977983953,14
91,-2.5293209552764893,105.09499998079264,14
92,-2.52142071723938,193.34199987497414,14
93,-2.535767078399658,106.65199988579843,14
94,-2.51043963432312,107.20000000219443,14
95,-2.5491068363189697,116.0799997705908,14
96,-2.548043727874756,106.47399994923035,14
97,-2.5336623191833496,106.89800001273397,14
98,-2.600494146347046,118.1110001198249,14
99,-2.566458225250244,104.66399999131681,14
100,-2.4201183319091797,106.35099988576258,14
101,-2.4157750606536865,141.8460001332278,14
102,-2.427762985229492,105.99300003377721,14
103,-2.398690700531006,106.84900007618126,14
104,-2.414733648300171,106.94799993871129,14
105,-2.3748693466186523,106.14099983285996,14
106,-2.4105453491210938,107.10799961088924,14
107,-2.4378011226654053,107.26099981184234,14
108,-2.356433391571045,103.43999974793405,14
109,-2.06337833404541,105.32900023463299,14
110,-2.319092273712158,103.65600019213161,14
111,-2.387167453765869,105.40300036154804,14
112,-2.326030731201172,105.2369998433278,14
113,-1.8011698722839355,107.30999974839506,14
114,-1.6233304738998413,106.17799989631749,14
115,-2.2203562259674072,103.69799974796479,14
116,-2.4341177940368652,173.96899966115598,14
117,-2.44003963470459,104.39400011819089,14
118,-2.4061803817749023,104.52900005475385,14
119,-2.3687312602996826,140.71999976295047,14
120,-2.4256796836853027,104.03099986433517,14
121,-2.299196243286133,105.16900010770769,14
122,-2.2099382877349854,174.22800010535866,14
123,-2.1853854656219482,104.36299999128096,14
124,-2.0854477882385254,104.14200005470775,14
125,-2.3217737674713135,103.49600006520632,14
126,-2.4138903617858887,104.95400010768208,14
127,-2.4141995906829834,104.9970001076872,14
128,-2.42675518989563,105.71699976935633,14
129,-2.316763162612915,105.62500028754584,14
130,-2.3142192363739014,103.42800032958621,14
131,-2.3980727195739746,103.81600031905691,14
132,-2.348905563354492,106.14199982228456,14
133,-2.405777931213379,103.72899987487472,14
134,-2.4692673683166504,107.23600007622736,14
135,-2.444227695465088,103.31099974791869,14
136,-2.0757882595062256,105.0649998433073,14
137,-2.3164639472961426,105.74099997029407,14
138,-2.3207030296325684,102.96000027665286,14
139,-2.3659589290618896,104.25200025565573,14
140,-2.2705535888671875,104.9109996529296,14
141,-2.1685893535614014,105.08300010769744,14
142,-1.6727532148361206,104.84900030860445,14
143,-2.124840021133423,105.5450002240832,14
144,-2.4135682582855225,104.57200005475897,14
145,-2.1436519622802734,106.36900015015271,14
146,-2.1768758296966553,103.86500025560963,14
147,-2.2162532806396484,106.554000012693,14
148,-2.374624252319336,105.97500022413442,14
149,-2.3535962104797363,105.772000097204,14
150,-2.3440234661102295,104.28299992781831,14
151,-2.070269823074341,103.56299981140182,14
152,-2.3391685485839844,103.70400013925973,14
153,-2.2491610050201416,106.37500008670031,14
154,-2.311692476272583,104.33900024509057,14
155,-2.1308083534240723,104.77500018168939,14
156,-2.218977928161621,106.02500015011174,14
157,-2.195711851119995,104.94700018170988,14
158,-2.391265392303467,105.76000022410881,14
159,-2.455329179763794,106.02400016068714,14
160,-2.3940372467041016,105.12600010770257,14
161,-2.1549179553985596,104.95999958948232,14
162,-2.4013254642486572,103.41500001231907,14
163,-2.4532241821289062,106.22199988574721,14
164,-2.455772638320923,105.25500010771793,14
165,-2.3745594024658203,105.83400035102386,14
166,-2.440814256668091,106.82399988581892,14
167,-2.333653688430786,104.6769998538366,14
168,-2.3858375549316406,104.51700018165866,14
169,-2.4536890983581543,105.05199998078751,14
170,-2.4670071601867676,109.0280002244981,14
171,-2.5085110664367676,106.32600015014759,14
172,-2.48482346534729,105.34200009715278,14
173,-2.469400405883789,185.53200015958282,14
174,-2.4927783012390137,104.3019997268857,14
175,-2.500711441040039,106.48600027707289,14
176,-2.548508644104004,140.77500009079813,14
177,-2.548043727874756,105.42199970586807,14
178,-2.5242226123809814,103.94999981144792,14
179,-2.532620668411255,104.58999986440176,14
180,-2.531867265701294,107.02799954742659,14
181,-2.5407090187072754,104.78800004420918,14
182,-2.489011764526367,105.20600017116521,14
183,-2.507159471511841,105.7660001606564,14
184,-2.5408637523651123,105.82699997030431,14
185,-2.5462486743927,106.45500015016296,14
186,-2.558835029602051,107.42100039351499,14
187,-2.2402758598327637,107.05199974836432,14
188,-2.191833734512329,104.74400005477946,14
189,-2.5088860988616943,104.43700011819601,14
190,-2.301257848739624,104.75699991729925,14
191,-2.4769551753997803,105.32299984333804,14
192,-2.557793378829956,106.44899975886801,14
193,-2.5712664127349854,107.01600012907875,14
194,-2.5504369735717773,107.74800011859043,14
195,-2.5903007984161377,105.02099985387758,14
196,-2.5735044479370117,105.44600036155316,14
197,-2.5498385429382324,104.79399998075678,14
198,-2.536808729171753,103.69799974796479,14
199,-2.563333034515381,107.18699968492729,14
