sample_id,fpga_score,latency_us,ap_ctrl
0,-1.09265,0.0,0
1,-0.858804,0.0,0
2,-0.901874,0.0,0
3,-1.23931,0.0,0
4,-1.44247,0.0,0
5,-1.43724,0.0,0
6,-1.66687,0.0,0
7,-1.48029,0.0,0
8,-1.91527,0.0,0
9,-1.60954,0.0,0
10,-1.63263,0.0,0
11,-1.73274,0.0,0
12,-1.55563,0.0,0
13,-1.26931,0.0,0
14,-1.14078,0.0,0
15,-1.1268,0.0,0
16,-1.31585,0.0,0
17,-1.37141,0.0,0
18,-1.24684,0.0,0
19,-1.38014,0.0,0
20,-0.448001,0.0,0
21,-1.80434,0.0,0
22,-2.28871,0.0,0
23,-1.80126,0.0,0
24,-1.12724,0.0,0
25,-1.14998,0.0,0
26,-0.873044,0.0,0
27,-0.897074,0.0,0
28,-0.864321,0.0,0
29,-1.22767,0.0,0
30,-1.17565,0.0,0
31,-1.90368,0.0,0
32,-1.67852,0.0,0
33,-1.95489,0.0,0
34,-1.65233,0.0,0
35,-1.08431,0.0,0
36,-1.23004,0.0,0
37,-0.958426,0.0,0
38,-1.55686,0.0,0
39,-0.788669,0.0,0
40,-1.39984,0.0,0
41,-0.896706,0.0,0
42,-1.38557,0.0,0
43,-0.743053,0.0,0
44,-0.800818,0.0,0
45,-1.15495,0.0,0
46,-0.458806,0.0,0
47,-1.20129,0.0,0
48,-1.83165,0.0,0
49,-0.582485,0.0,0
50,-1.58483,0.0,0
51,-1.40593,0.0,0
52,-1.11803,0.0,0
53,-1.51999,0.0,0
54,-0.811835,0.0,0
55,-1.50807,0.0,0
56,-0.361076,0.0,0
57,-1.08582,0.0,0
58,-2.51244,0.0,0
59,-1.33304,0.0,0
60,-1.70209,0.0,0
61,-2.02162,0.0,0
62,-1.96886,0.0,0
63,-1.66852,0.0,0
64,-1.11924,0.0,0
65,-1.65139,0.0,0
66,-0.507765,0.0,0
67,-0.90353,0.0,0
68,-1.19401,0.0,0
69,-0.71916,0.0,0
70,-1.50316,0.0,0
71,-1.10927,0.0,0
72,-2.3619,0.0,0
73,-1.2912,0.0,0
74,-2.36485,0.0,0
75,-1.44306,0.0,0
76,-1.592,0.0,0
77,-1.39207,0.0,0
78,-1.62468,0.0,0
79,-1.55607,0.0,0
80,-0.983063,0.0,0
81,-2.21487,0.0,0
82,-1.3511,0.0,0
83,-1.59894,0.0,0
84,-2.79522,0.0,0
85,-1.51026,0.0,0
86,-2.31862,0.0,0
87,-2.65708,0.0,0
88,-1.58218,0.0,0
89,-2.12583,0.0,0
90,-1.73244,0.0,0
91,-0.761264,0.0,0
92,-0.692861,0.0,0
93,-0.376203,0.0,0
94,-1.01194,0.0,0
95,-0.643121,0.0,0
96,-0.83532,0.0,0
97,-1.6835,0.0,0
98,-0.649239,0.0,0
99,-2.66062,0.0,0
100,-5.827,0.0,0
101,-4.71176,0.0,0
102,1.57507,0.0,0
103,2.66206,0.0,0
104,3.42045,0.0,0
105,1.99942,0.0,0
106,4.187,0.0,0
107,4.20844,0.0,0
108,3.70089,0.0,0
109,3.20476,0.0,0
110,3.45312,0.0,0
111,4.03164,0.0,0
112,3.81651,0.0,0
113,5.10998,0.0,0
114,3.74243,0.0,0
115,2.51978,0.0,0
116,1.22006,0.0,0
117,2.03702,0.0,0
118,2.09148,0.0,0
119,2.08694,0.0,0
120,2.45305,0.0,0
121,2.88169,0.0,0
122,0.361163,0.0,0
123,0.387471,0.0,0
124,2.90065,0.0,0
125,2.27488,0.0,0
126,-3.2938,0.0,0
127,-2.54028,0.0,0
128,-0.894239,0.0,0
129,0.57941,0.0,0
130,2.19793,0.0,0
131,3.86782,0.0,0
132,2.08065,0.0,0
133,3.57642,0.0,0
134,4.74812,0.0,0
135,4.1392,0.0,0
136,2.55032,0.0,0
137,3.42897,0.0,0
138,2.7597,0.0,0
139,3.93686,0.0,0
140,2.93339,0.0,0
141,3.39988,0.0,0
142,4.44111,0.0,0
143,2.40681,0.0,0
144,3.35494,0.0,0
145,3.39964,0.0,0
146,2.12042,0.0,0
147,0.860393,0.0,0
148,3.83371,0.0,0
149,2.34532,0.0,0
150,3.17413,0.0,0
151,3.80455,0.0,0
152,3.85722,0.0,0
153,1.87414,0.0,0
154,1.61498,0.0,0
155,3.55563,0.0,0
156,2.86946,0.0,0
157,2.55632,0.0,0
158,3.60682,0.0,0
159,3.28065,0.0,0
160,3.12235,0.0,0
161,4.7497,0.0,0
162,4.56723,0.0,0
163,-0.569858,0.0,0
164,-0.227297,0.0,0
165,-0.274123,0.0,0
166,-0.296768,0.0,0
167,5.88456,0.0,0
168,-2.61268,0.0,0
169,-1.33417,0.0,0
170,-2.04888,0.0,0
171,-1.36287,0.0,0
172,-1.12522,0.0,0
173,-1.39429,0.0,0
174,-1.34651,0.0,0
175,-2.48022,0.0,0
176,-2.07315,0.0,0
177,-1.88516,0.0,0
178,-2.03897,0.0,0
179,-2.01258,0.0,0
180,2.88406,0.0,0
181,3.44387,0.0,0
182,3.71648,0.0,0
183,4.6269,0.0,0
184,4.24246,0.0,0
185,4.69589,0.0,0
186,3.99298,0.0,0
187,4.13532,0.0,0
188,4.06564,0.0,0
189,4.34323,0.0,0
190,3.46237,0.0,0
191,3.32164,0.0,0
192,-1.70713,0.0,0
193,-1.23371,0.0,0
194,-2.37403,0.0,0
195,-1.34766,0.0,0
196,-2.01332,0.0,0
197,0.168226,0.0,0
198,0.532092,0.0,0
199,0.581859,0.0,0
