sample_id,fpga_score,latency_us,ap_ctrl
0,-2.6849653720855713,109.45899998660025,14
1,-2.6413564682006836,107.92600005515851,14
2,-2.660701036453247,108.84299990721047,14
3,-2.6723790168762207,163.452000037978,14
4,-2.692455291748047,102.08600008354551,14
5,-2.6897518634796143,104.78199999397475,14
6,-2.669675827026367,102.02999999364692,14
7,-2.691258668899536,103.93299999122974,14
8,-2.6771655082702637,103.08900004929455,14
9,-2.6735756397247314,101.55699999359058,14
10,-2.6735756397247314,547.9379999542289,14
11,-2.670428991317749,104.7319999543106,14
12,-2.666684150695801,101.89600004650856,14
13,-2.650352716445923,103.68000005200884,14
14,-2.659947633743286,101.13199994066235,14
15,-2.671780586242676,102.31999999632535,14
16,-2.6672823429107666,103.29200006253814,14
17,-2.6692326068878174,100.38799996436865,14
18,-2.666684150695801,101.99400003330084,14
19,-2.6723790168762207,102.08599996985868,14
20,-2.692455291748047,102.33800003334181,14
21,-2.680312156677246,101.90199998305616,14
22,-2.649001359939575,101.78499996982282,14
23,-2.618443727493286,102.36300011001731,14
24,-2.6168036460876465,100.38799996436865,14
25,-2.6048154830932617,102.24000004654954,14
26,-2.6118621826171875,101.90099999363156,14
27,-2.5947775840759277,101.57500003060704,14
28,-2.588041067123413,101.63699994336639,14
29,-2.609468698501587,101.03399995387008,14
30,-2.651416063308716,101.63700005705323,14
31,-2.6585960388183594,100.65200001463381,14
32,-2.664889097213745,103.78500007846014,14
33,-2.6534996032714844,103.99400002825132,14
34,-2.638519763946533,102.22700007034291,14
35,-2.6329801082611084,101.30400005436968,14
36,-2.6072089672088623,102.03699991961912,14
37,-2.599275588989258,101.4580000173737,14
38,-2.5955307483673096,101.50200000680343,14
39,-2.629544973373413,102.03700003330596,14
40,-2.623540163040161,103.32299996207439,14
41,-2.662052631378174,101.87099996983306,14
42,-2.644658088684082,101.61800003061217,14
43,-2.6178455352783203,103.23699996206415,14
44,-2.6105103492736816,103.11400001228321,14
45,-2.619351863861084,103.46499993829639,14
46,-2.655759334564209,101.3790000570225,14
47,-2.6371681690216064,101.24299990366126,14
48,-2.6166486740112305,100.99700000409939,14
49,-2.660856008529663,103.29200006253814,14
50,-2.6163387298583984,100.23400000136462,14
51,-2.6124603748321533,101.79000003063265,14
52,-2.6230967044830322,102.60300007303158,14
53,-2.5997190475463867,102.6460000730367,14
54,-2.61381196975708,102.6219999857858,14
55,-2.607962131500244,100.20299998814153,14
56,-2.6470730304718018,104.41799997806811,14
57,-2.6517045497894287,101.78399998039822,14
58,-2.6164937019348145,100.61000000405329,14
59,-2.6319382190704346,100.88600004110049,14
60,-2.6172468662261963,101.79700007029169,14
61,-2.5758979320526123,103.13799998584727,14
62,-2.5498385429382324,102.33800003334181,14
63,-2.5462486743927,102.74399994614214,14
64,-2.5493953227996826,103.83999995156046,14
65,-2.5279674530029297,104.15400004148978,14
66,-2.552098512649536,101.95700008353015,14
67,-2.5228707790374756,102.400000059788,14
68,-2.557194948196411,102.3749999831125,14
69,-2.561826705932617,101.02800001732248,14
70,-2.520322561264038,102.75699992234877,14
71,-2.5660367012023926,104.08000002826157,14
72,-2.566768169403076,101.66099991693045,14
73,-2.609025478363037,104.31400005472824,14
74,-2.573349714279175,103.16999998849496,14
75,-2.55238676071167,103.6740000017744,14
76,-2.531114101409912,101.05199999088654,14
77,-2.546403646469116,102.60299995934474,14
78,-2.5562868118286133,101.87099996983306,14
79,-2.5700697898864746,101.34199999356497,14
80,-2.578756093978882,101.5999999935957,14
81,-2.54219388961792,103.89500005203445,14
82,-2.583261489868164,102.78199999902426,14
83,-2.5821502208709717,102.78199999902426,14
84,-2.5515120029449463,103.65499997533334,14
85,-2.577684164047241,104.39300001507945,14
86,-2.5490853786468506,102.21499996987404,14
87,-2.5330638885498047,103.47099998853082,14
88,-2.5564417839050293,100.94700007812207,14
89,-2.5297622680664062,103.98100005204469,14
90,-2.531121253967285,101.08900005434407,14
91,-2.5293209552764893,101.03400006755692,14
92,-2.52142071723938,104.0920000150436,14
93,-2.535767078399658,102.58500003601512,14
94,-2.51043963432312,102.70799998579605,14
95,-2.5491068363189697,105.5270000733799,14
96,-2.548043727874756,101.17600004377891,14
97,-2.5336623191833496,101.58800000681367,14
98,-2.600494146347046,103.10800007573562,14
99,-2.566458225250244,102.12900008355064,14
