config,nominal_sparsity,actual_sparsity,active_tokens,attn_dim,accuracy,precision,recall,f1,accuracy_drop_vs_s0,image_decode_ms_mean,resize_ms_mean,normalize_ms_mean,patch_construction_ms_mean,token_selection_ms_mean,compact_tensor_generation_ms_mean,quantization_ms_mean,prepared_input_total_ms_mean,full_application_proxy_ms_mean,full_application_proxy_ms_median,is_full_application_proxy_mean_monotonic,is_full_application_proxy_median_monotonic,is_mask_based,is_true_token_compaction,eligible_for_hls,notes
Q16-QKSv3-S0,0,0.0,16,16,0.9419279907084785,0.9770753733935394,0.9545300305395318,0.9656711294198421,0.0,1.182963448490149,0.1091862986256294,0.01752982054781293,0.016930962891986277,0.002101711207897862,0.0015351418795973692,0.00693897643244308,0.027506792411924125,1.3371863600754934,1.2897865,False,False,False,True,False,"raw-patch L1 Top-K; compact shape [N,K,64]; original positional indices retained; invariant image timings shared across configs"
Q16-QKSv3-S10,10,12.5,14,14,0.9358304297328688,0.976240391334731,0.9480827960637936,0.9619555861594078,0.6097560975609762,1.182963448490149,0.1091862986256294,0.01752982054781293,0.016930962891986277,0.002118048915989227,0.00392597763259771,0.006169280807200735,0.029144270247773902,1.3388238379113433,1.2909655,False,False,False,True,False,"raw-patch L1 Top-K; compact shape [N,K,64]; original positional indices retained; invariant image timings shared across configs"
Q16-QKSv3-S20,20,18.75,13,13,0.9335075493612079,0.9781843771991555,0.9433322022395657,0.9604422179996546,0.8420441347270602,1.182963448490149,0.1091862986256294,0.01752982054781293,0.016930962891986277,0.002145168931475087,0.0029407478416569903,0.006091018563685385,0.02810789822880372,1.3377874658923734,1.2910815000000002,False,False,False,True,False,"raw-patch L1 Top-K; compact shape [N,K,64]; original positional indices retained; invariant image timings shared across configs"
Q16-QKSv3-S30,30,31.25,11,11,0.8527874564459931,0.9773082942097027,0.8476416694944011,0.9078684353988733,8.914053426248547,1.182963448490149,0.1091862986256294,0.01752982054781293,0.016930962891986277,0.0021288129887728057,0.0034912095915603067,0.005765262059620645,0.028316247531939606,1.337995815195509,1.2904995,False,False,False,True,False,"raw-patch L1 Top-K; compact shape [N,K,64]; original positional indices retained; invariant image timings shared across configs"
