rank,channel,L1_norm,kept
0,4,11.849053382873535,True
1,3,10.005796432495117,True
2,10,9.856554985046387,True
3,11,9.467179298400879,True
4,7,9.341573715209961,True
5,12,9.238457679748535,True
6,14,9.187273979187012,True
7,13,9.097658157348633,True
8,8,9.085870742797852,True
9,6,8.952252388000488,True
10,15,8.732522964477539,True
11,1,8.284690856933594,False
12,0,8.024385452270508,False
13,2,7.9143548011779785,False
14,9,7.81822395324707,False
15,5,7.0764007568359375,False
