epoch,train_loss,val_loss,val_accuracy,val_precision,val_recall,val_f1,val_auc
1,0.5342643878961865,0.3536595915045057,0.8565621370499419,0.9826771653543307,0.8472505091649695,0.9099526066350712,0.9375519729972163
2,0.29206789214360085,0.2916981130838394,0.8786295005807201,0.9839203675344563,0.8723693143245078,0.9247930910399423,0.9568266276238696
3,0.27825773436772194,0.28684352125440327,0.9175377468060395,0.9818971759594497,0.9205702647657841,0.9502452697967765,0.9608426918808979
4,0.2622999952027672,0.2579826552953039,0.8931475029036005,0.9871504157218443,0.8866259334691107,0.9341917024320457,0.9645397612173063
5,0.2473051883672413,0.26442626650844303,0.9279907084785134,0.976678445229682,0.9382213170400543,0.9570637119113573,0.9706824582784636
6,0.24532500191738732,0.23957977337496622,0.9233449477351916,0.9799570508231925,0.9293957909029192,0.954006968641115,0.9738587752230919
7,0.2331370952882265,0.22258355574948446,0.9274099883855982,0.9848920863309353,0.9293957909029192,0.9563395040167656,0.9743113663070475
8,0.2273521000617429,0.21218908578157425,0.9006968641114983,0.9887387387387387,0.8940936863543788,0.9390374331550801,0.9758736234823885
9,0.2310487267218138,0.21100350150040217,0.9308943089430894,0.9849570200573066,0.93346911065852,0.9585221331474381,0.9760917396674273
10,0.21662107941351438,0.22552588262728282,0.9320557491289199,0.9774647887323944,0.9422946367956552,0.9595575527134463,0.9779784446680135
11,0.21496152469986363,0.1996486900108201,0.9111498257839721,0.9881656804733728,0.9069925322471147,0.9458407079646018,0.9778666601231811
12,0.21180220003190794,0.20347495483500616,0.8908246225319396,0.9930928626247122,0.878479293957909,0.9322766570605189,0.9796224954127439
13,0.2081543088939629,0.21577963339430944,0.8815331010452961,0.9907192575406032,0.869653767820774,0.9262472885032538,0.9743877069718111
14,0.2156583175063133,0.19573678555233137,0.9256678281068524,0.9876722262509064,0.924643584521385,0.9551192145862551,0.9786436990323819
15,0.20234017505457527,0.22014270829302923,0.9483159117305459,0.9798890429958391,0.9592668024439919,0.9694682675814752,0.981740948859934
16,0.20022790679021885,0.18205266818404198,0.9314750290360047,0.9877609791216703,0.9314324507807196,0.9587700908455625,0.9834040847708552
17,0.2019299314994561,0.18110883555241994,0.9163763066202091,0.9896831245394252,0.911744738628649,0.9491166077738514,0.9826079606954634
18,0.1973693860988868,0.20746168653879846,0.9425087108013938,0.9810924369747899,0.9511201629327902,0.9658738366080661,0.9819754237588507
19,0.19011189263117942,0.18946620768734387,0.9169570267131243,0.986822840409956,0.9151391717583164,0.9496301514617824,0.9800341897120048
20,0.19679790217625467,0.2156433484383992,0.9442508710801394,0.9804605722260991,0.9538357094365241,0.9669649002064693,0.9806885382671213
21,0.19409275086302508,0.17686855367251805,0.9065040650406504,0.9910179640718563,0.8988458927359131,0.9426842292630829,0.9833141118445267
22,0.1912357220524236,0.17047939555985586,0.913472706155633,0.9940298507462687,0.9042769857433809,0.9470316388197655,0.9832159595612593
23,0.1916323806894453,0.18607102281280927,0.8902439024390244,0.9946070878274268,0.8764426340801086,0.931793576326236,0.9810484299724355
24,0.1914800148261221,0.1732833513191768,0.924506387921022,0.989075018208303,0.921928038017651,0.954321855235418,0.9840011778273992
25,0.1805158933918727,0.17619689500757627,0.9326364692218351,0.9870782483847811,0.93346911065852,0.9595254710397767,0.984216567560125
26,0.18196917027235032,0.1811704896390438,0.9088269454123112,0.9903129657228018,0.9022403258655805,0.9442273534635879,0.9833522821769085
27,0.1850798299438075,0.16652058490685054,0.9419279907084785,0.9886120996441281,0.9429735234215886,0.9652536483669215,0.9846009973362562
28,0.18115440826666981,0.17564337434513227,0.9001161440185831,0.9946768060836502,0.8879837067209776,0.9383070301291249,0.9848381986874858
29,0.1790647840029315,0.18923843439136231,0.9506387921022067,0.9839609483960948,0.957909029192125,0.9707602339181286,0.9862695861518033
30,0.17731778504032839,0.15335520569767272,0.9256678281068524,0.9890909090909091,0.923285811269518,0.9550561797752809,0.9864086352197656
