metric,value
model_id,Q16-QKSv2-S30
code_name,q16_qksv2_d11
attn_dim,11
effective_sparsity,31.25%
accuracy,0.938444
precision,0.979993
recall,0.947404
f1,0.963423
prediction_match_rate,0.988966
fpga_kernel_latency_us,911.479
fpga_kernel_latency_p50_us,909.145
fpga_kernel_latency_p95_us,922.067
fpga_model_inference_time_s_mean,0.001442
fpga_model_inference_time_s_p50,0.001431
fpga_model_inference_time_s_p95,0.001491
fpga_model_inference_time_s_std,0.000052
fpga_model_inference_time_us_mean,1442.018
fpga_model_inference_time_us_p50,1430.917
fpga_model_inference_time_us_p95,1491.117
speedup_vs_vit4mal_0p81s,561.7
speedup_vs_vit4mal_1p48s,1026.3
num_samples,3444
num_repeats,3
cold_start_ms,3778
