metric,value
model_id,Q16-QKSv2-D13
code_name,q16_qksv2_d13
attn_dim,13
effective_sparsity,18.75%
n_warmup,20
n_test_images,3444
e2e_scope,raw_IMG_DS_image_file_to_final_prediction_excluding_overlay_for_warm_latency
include_image_file_io,True
include_image_decode,True
include_resize,True
include_normalize,True
include_feature_transform,True
include_quantization,True
include_ps_pl_transfer,True
include_fpga_kernel,True
include_output_readback,True
include_argmax,True
include_overlay_loading,False
fpga_inference_time_s_mean,0.022698
fpga_inference_time_s_p50,0.022821
fpga_inference_time_s_p95,0.027261
fpga_inference_time_s_std,0.008360
fpga_inference_time_us_mean,22697.778
fpga_inference_time_us_p50,22821.101
fpga_inference_time_us_p95,27260.682
fpga_kernel_latency_us,978.966
cold_start_latency_us,4527152.849
accuracy,0.941057
precision,0.979385
recall,0.951137
f1,0.965054
prediction_match_rate,0.991580
speedup_vs_vit4mal_fastest_0p81s,35.686313
speedup_vs_vit4mal_selected_1p48s,65.204621
meets_30x_target,True
