stage,mean_ms,median_ms,p95_ms,p99_ms
read_decode,12.034503,11.637855,13.698114,14.416820
resize,2.631762,2.595194,2.732268,2.817780
normalize,0.557931,0.548858,0.649275,0.686078
patch,0.812035,0.797723,0.915000,0.968556
quantize,0.678856,0.663615,0.782655,0.838929
buffer_prep,0.332327,0.326487,0.370399,0.438055
kernel,0.972867,0.972210,0.979753,1.048505
readback,0.378147,0.366668,0.461100,0.520251
total,18.553595,18.201816,20.274850,21.590383
