metric,value
model_id,Ours-Q16-S0-AttnSparse
code_name,q16_s0_attn_sparse
quant_bits,16
effective_sparsity,0%
n_warmup,20
n_runs,1000
application_latency_mean_us,2078.306504
application_latency_std_us,53.723823
application_latency_min_us,2028.116000
application_latency_p50_us,2058.052500
application_latency_p95_us,2178.345150
application_latency_max_us,2609.187000
application_throughput_samples_per_sec,481.160983
kernel_latency_us_1000runs,843.1539
speedup_vs_ViT4Mal_fastest_0p81s_application,389.740396
speedup_vs_ViT4Mal_selected_1p48s_application,712.118255
pynq_measured,True
latency_scope,application_level_single_sample_excluding_overlay_and_file_io
notes,"Includes in-memory sample extraction, host Q6.10 conversion, PYNQ buffer copy/flush, kernel start/wait, output invalidate/read, dequantization, and argmax; excludes Overlay/NPZ loading, allocation, and warm-up."
prediction_checksum,833
