config,code_name,quant_bits,effective_sparsity,active_dim,vivado_lut,vivado_dsp,vivado_ff,vivado_bram_18k,wns_ns,timing_status,resource_source
Q16-S0,q16_s0_attn_sparse,16,0%,16,14004,156,12903,15,+0.330,PASS,vivado_implementation
Q8-S0,q8_s0_attn_sparse,8,0%,16,14019,124,13373,15,+0.330,PASS,vivado_implementation
