config_id,method,threshold_param,accuracy,precision,recall,f1,confusion_matrix,f1_delta_vs_original,prediction_match_rate_vs_original,max_abs_logits_error_vs_original,mean_abs_logits_error_vs_original,q_active_ratio,k_active_ratio,estimated_attention_mac_reduction,denominator_min,denominator_mean,denominator_near_zero_count,passes_quality_gate
dt_00_percentile_0,percentile,0.0,0.609375,0.11504424778761062,1.0,0.20634920634920637,"[[143, 100], [0, 13]]",0.0,1.0,0.00022745132446289062,1.4652032405138016e-06,0.99993896484375,0.999969482421875,4.57763671875e-05,118.58722686767578,125.93206024169922,0,False
dt_01_percentile_0p1,percentile,0.1,0.609375,0.11504424778761062,1.0,0.20634920634920637,"[[143, 100], [0, 13]]",0.0,1.0,0.011839509010314941,0.0002854765043593943,0.998931884765625,0.998992919921875,0.00103759765625,115.55238342285156,125.85655975341797,0,True
dt_02_percentile_0p25,percentile,0.25,0.609375,0.11504424778761062,1.0,0.20634920634920637,"[[143, 100], [0, 13]]",0.0,1.0,0.01116478443145752,0.0008377358317375183,0.99749755859375,0.997406005859375,0.0025482177734375,115.23927307128906,125.72354888916016,0,True
dt_03_percentile_0p5,percentile,0.5,0.609375,0.11504424778761062,1.0,0.20634920634920637,"[[143, 100], [0, 13]]",0.0,1.0,0.41203248500823975,0.0073924117314163595,0.994964599609375,0.99493408203125,0.0050506591796875,109.25239562988281,125.43084716796875,0,True
dt_04_percentile_1,percentile,1.0,0.609375,0.11504424778761062,1.0,0.20634920634920637,"[[143, 100], [0, 13]]",0.0,1.0,0.5207148790359497,0.029740477446466684,0.989990234375,0.989990234375,0.010009765625,104.86554718017578,124.8060073852539,0,True
dt_05_percentile_2,percentile,2.0,0.58984375,0.11016949152542373,1.0,0.1984732824427481,"[[138, 105], [0, 13]]",-0.007875923906458276,0.98046875,0.7492727041244507,0.08445976686198264,0.97998046875,0.9798583984375,0.02008056640625,94.6384048461914,123.40821075439453,0,False
dt_06_percentile_3,percentile,3.0,0.58203125,0.10833333333333334,1.0,0.19548872180451127,"[[136, 107], [0, 13]]",-0.010860484544695098,0.97265625,1.1133571863174438,0.14159290786483325,0.96990966796875,0.969451904296875,0.0303192138671875,83.17115020751953,121.89950561523438,0,False
dt_07_percentile_5,percentile,5.0,0.5546875,0.10236220472440945,1.0,0.1857142857142857,"[[129, 114], [0, 13]]",-0.020634920634920673,0.9453125,1.1798300743103027,0.2972057802253403,0.94512939453125,0.949981689453125,0.0524444580078125,74.81591796875,118.11809539794922,0,False
dt_08_percentile_10,percentile,10.0,0.5390625,0.09923664122137404,1.0,0.18055555555555555,"[[125, 118], [0, 13]]",-0.025793650793650813,0.9296875,3.204666256904602,0.646313673700206,0.899993896484375,0.89996337890625,0.1000213623046875,72.04594421386719,109.25528717041016,0,False
dt_09_percentile_20,percentile,20.0,0.5625,0.104,1.0,0.18840579710144925,"[[131, 112], [0, 13]]",-0.017943409247757114,0.953125,3.5981274843215942,0.720011572848307,0.7974853515625,0.79998779296875,0.201263427734375,46.506500244140625,88.9494857788086,0,False
dt_10_percentile_30,percentile,30.0,0.5859375,0.1092436974789916,1.0,0.19696969696969696,"[[137, 106], [0, 13]]",-0.009379509379509404,0.9609375,3.773894429206848,0.7803610336268321,0.694122314453125,0.7005615234375,0.3026580810546875,28.49104881286621,68.398193359375,0,False
dt_11_percentile_40,percentile,40.0,0.6953125,0.14285714285714285,1.0,0.25,"[[165, 78], [0, 13]]",0.043650793650793634,0.8984375,3.8488441705703735,0.8821283606957877,0.594879150390625,0.59918212890625,0.4029693603515625,19.74534797668457,51.36408233642578,0,False
dt_12_percentile_50,percentile,50.0,0.8359375,0.20408163265306123,0.7692307692307693,0.3225806451612903,"[[204, 39], [3, 10]]",0.11623143881208395,0.75,5.0532307624816895,1.4008770259970333,0.495361328125,0.501068115234375,0.5017852783203125,14.813199996948242,35.984073638916016,0,False
dt_13_dynamic_mad_m0p5,dynamic_mad,-0.5,0.5859375,0.1092436974789916,1.0,0.19696969696969696,"[[137, 106], [0, 13]]",-0.009379509379509404,0.96875,2.181667447090149,0.5337015103577869,0.697845458984375,0.658721923828125,0.32171630859375,41.80301284790039,63.053871154785156,0,False
