metric,value
model_id,Q16-QKSv2-S10
code_name,q16_qksv2_d14
attn_dim,14
effective_sparsity,12.5%
accuracy,0.937863
precision,0.980316
recall,0.946386
f1,0.963052
prediction_match_rate,0.986643
fpga_kernel_latency_us,975.481
fpga_kernel_latency_p50_us,975.693
fpga_kernel_latency_p95_us,981.517
fpga_model_inference_time_s_mean,0.001533
fpga_model_inference_time_s_p50,0.001521
fpga_model_inference_time_s_p95,0.001583
fpga_model_inference_time_s_std,0.000052
fpga_model_inference_time_us_mean,1533.272
fpga_model_inference_time_us_p50,1520.680
fpga_model_inference_time_us_p95,1582.767
speedup_vs_vit4mal_0p81s,528.3
speedup_vs_vit4mal_1p48s,965.3
num_samples,3444
num_repeats,3
cold_start_ms,3681
