experiment_id,quant_bits,sparsity_percent,csim_status,prediction_match_rate_vs_q32,hw_label_accuracy,ref_label_accuracy,max_abs_error_vs_q32,mean_abs_error_vs_q32,BRAM,DSP,FF,LUT,latency_cycles,interval_cycles,latency_us_at_100MHz,pynq_z2_fit,notes
e1_q16_s0_dense_baseline,16,0,PASS_RELAXED,0.9850,0.9450,0.9500,0.4212,0.0659,13,156,11458,25402,75627,75628,756.27,TRUE,"Q16 PARETO2-AXI baseline. Vivado actual: LUT=14004 latency=2408.76us PYNQ measured."
e1_q8_s0_dense,8,0,PASS,0.9750,0.9100,0.8850,0.4222,0.0759,13,124,11127,25378,75843,75844,758.43,TRUE,"Q8 dense S0. DSP=124 (-20.5%). LUT=25378 (flat). SW acc=91.00%. Low-LUT ablation candidate."
small_B,Structural linear,16,0,PASS,0.9518,0.9400,0.9600,1.2498,0.1702,9,98,10236,23346,30843,30844,308.43,TRUE,"small_B (d=8/ff=16). LUT=23346 (-8.1% vs Q16). DSP=98 (-37%). Latency=30843 cycles (-59%). Est Vivado LUT ~12860. STRONG Pareto candidate."
