sample_id,label,pytorch_score,x00,x01,x02,x03,x04,x05,x06,x07,x08,x09,x10,x11,x12,x13,x14,x15,fpga_score,latency_us,ap_ctrl,abs_error,rel_error,pytorch_pred,fpga_pred,pred_match
0,0,-0.7949671745300293,0.0578252375125885,0.4533582031726837,0.1014444380998611,0.4925373196601867,0.0752729177474975,0.447761207818985,0.0694570243358612,0.4608208835124969,0.0520093441009521,0.4533582031726837,0.0578252375125885,0.4682835936546325,0.0752729177474975,0.4757462739944458,0.0520093441009521,0.4496268630027771,0.4867023825645447,81.03399886749685,14,1.281669557094574,1.6122295336939851,0,1,False
1,0,-0.7502377033233643,0.1014444380998611,0.4925373196601867,0.0752729177474975,0.447761207818985,0.0694570243358612,0.4608208835124969,0.0520093441009521,0.4533582031726837,0.0578252375125885,0.4682835936546325,0.0752729177474975,0.4757462739944458,0.0520093441009521,0.4496268630027771,0.0694570243358612,0.4757462739944458,0.3961222171783447,76.84400043217465,14,1.146359920501709,1.5279956144880789,0,1,False
2,0,-1.2679443359375,0.0752729177474975,0.447761207818985,0.0694570243358612,0.4608208835124969,0.0520093441009521,0.4533582031726837,0.0578252375125885,0.4682835936546325,0.0752729177474975,0.4757462739944458,0.0520093441009521,0.4496268630027771,0.0694570243358612,0.4757462739944458,0.0694570243358612,0.4645522534847259,0.4867023825645447,77.11399848631117,14,1.7546467185020447,1.3838515373032396,0,1,False
3,0,-1.459468126296997,0.0694570243358612,0.4608208835124969,0.0520093441009521,0.4533582031726837,0.0578252375125885,0.4682835936546325,0.0752729177474975,0.4757462739944458,0.0520093441009521,0.4496268630027771,0.0694570243358612,0.4757462739944458,0.0694570243358612,0.4645522534847259,0.0694570243358612,0.4645522534847259,0.4867023825645447,75.6739991629729,14,1.9461705088615417,1.3334792817979653,0,1,False
4,0,-1.4676308631896973,0.0520093441009521,0.4533582031726837,0.0578252375125885,0.4682835936546325,0.0752729177474975,0.4757462739944458,0.0520093441009521,0.4496268630027771,0.0694570243358612,0.4757462739944458,0.0694570243358612,0.4645522534847259,0.0694570243358612,0.4645522534847259,0.0723649710416793,0.466417908668518,0.4795058965682983,77.80300074955449,14,1.9471367597579956,1.3267210499554072,0,1,False
5,0,-1.4351789951324463,0.0578252375125885,0.4682835936546325,0.0752729177474975,0.4757462739944458,0.0520093441009521,0.4496268630027771,0.0694570243358612,0.4757462739944458,0.0694570243358612,0.4645522534847259,0.0694570243358612,0.4645522534847259,0.0723649710416793,0.466417908668518,0.0752729177474975,0.466417908668518,0.4867023825645447,76.17200026288629,14,1.921881377696991,1.339123122770919,0,1,False
6,0,-1.0281527042388916,0.0752729177474975,0.4757462739944458,0.0520093441009521,0.4496268630027771,0.0694570243358612,0.4757462739944458,0.0694570243358612,0.4645522534847259,0.0694570243358612,0.4645522534847259,0.0723649710416793,0.466417908668518,0.0752729177474975,0.466417908668518,0.0898126512765884,0.4738805890083313,0.2785863876342773,76.49899998796172,14,1.306739091873169,1.2709581820732612,0,1,False
7,0,-1.0544719696044922,0.0520093441009521,0.4496268630027771,0.0694570243358612,0.4757462739944458,0.0694570243358612,0.4645522534847259,0.0694570243358612,0.4645522534847259,0.0723649710416793,0.466417908668518,0.0752729177474975,0.466417908668518,0.0898126512765884,0.4738805890083313,0.0781808644533157,0.4570895433425903,0.4867023825645447,75.88900007249322,14,1.5411743521690369,1.4615602847623304,0,1,False
8,0,-1.657196283340454,0.0694570243358612,0.4757462739944458,0.0694570243358612,0.4645522534847259,0.0694570243358612,0.4645522534847259,0.0723649710416793,0.466417908668518,0.0752729177474975,0.466417908668518,0.0898126512765884,0.4738805890083313,0.0781808644533157,0.4570895433425903,0.0694570243358612,0.4589552283287048,0.4867023825645447,74.9789996916661,14,2.143898665904999,1.2936902450586516,0,1,False
9,0,-1.7346248626708984,0.0694570243358612,0.4645522534847259,0.0694570243358612,0.4645522534847259,0.0723649710416793,0.466417908668518,0.0752729177474975,0.466417908668518,0.0898126512765884,0.4738805890083313,0.0781808644533157,0.4570895433425903,0.0694570243358612,0.4589552283287048,0.0752729177474975,0.4682835936546325,0.4867023825645447,76.35099973413162,14,2.221327245235443,1.2805807716921236,0,1,False
10,0,-1.7462482452392578,0.0694570243358612,0.4645522534847259,0.0723649710416793,0.466417908668518,0.0752729177474975,0.466417908668518,0.0898126512765884,0.4738805890083313,0.0781808644533157,0.4570895433425903,0.0694570243358612,0.4589552283287048,0.0752729177474975,0.4682835936546325,0.0723649710416793,0.4626865684986114,0.4867023825645447,74.06199983961415,14,2.2329506278038025,1.2787131691564624,0,1,False
11,0,-1.7884812355041504,0.0723649710416793,0.466417908668518,0.0752729177474975,0.466417908668518,0.0898126512765884,0.4738805890083313,0.0781808644533157,0.4570895433425903,0.0694570243358612,0.4589552283287048,0.0752729177474975,0.4682835936546325,0.0723649710416793,0.4626865684986114,0.0752729177474975,0.466417908668518,0.4867023825645447,76.65199882467277,14,2.275183618068695,1.272131668424997,0,1,False
