metric,value
config,q16_qksv2_d13
num_samples,3444
accuracy,0.941057
precision,0.979385
recall,0.951137
f1,0.965054
tp,2803
tn,438
fp,59
fn,144
latency_mean_us,1037.4412
latency_p50_us,1032.1135
latency_p95_us,1063.8544
latency_min_us,1009.1450
latency_max_us,4711.5750
