variant,csim_status,max_abs_error_hls_vs_reference,mean_abs_error_hls_vs_reference,prediction_match_rate_hls_vs_reference,accuracy,precision,recall,f1,f1_delta_vs_original,prediction_match_rate_vs_original,denominator_near_zero_count,log_path
v00_float_reference,PASS,1.907348633e-06,4.973262548e-07,1.0,0.609375,0.1150442477876106,1.0,0.2063492063492063,0.0,1.0,0,/home/cym/prj2/finn/notebooks/icl_thesis-master/experiments/innovation1_csg_halt/results/hls_csim/logs/v00_float_reference_csim.log
v01_static_sparse_87p5_float,PASS,1.907348633e-06,6.137415767e-07,1.0,0.609375,0.1150442477876106,1.0,0.2063492063492063,0.0,1.0,0,/home/cym/prj2/finn/notebooks/icl_thesis-master/experiments/innovation1_csg_halt/results/hls_csim/logs/v01_static_sparse_87p5_float_csim.log
v02_sparse_87p5_mixed_fixed,FAIL,,,0.0,0.609375,0.1150442477876106,1.0,0.2063492063492063,0.0,1.0,0,/home/cym/prj2/finn/notebooks/icl_thesis-master/experiments/innovation1_csg_halt/results/hls_csim/logs/v02_sparse_87p5_mixed_fixed_csim.log
v03_full_csg_halt,FAIL,,,0.0,0.61328125,0.1160714285714285,1.0,0.208,0.0016507936507936,0.99609375,0,/home/cym/prj2/finn/notebooks/icl_thesis-master/experiments/innovation1_csg_halt/results/hls_csim/logs/v03_full_csg_halt_csim.log
