method,config,accuracy,f1,lut,dsp,ff,bram,fpga_kernel_latency_us,vit4mal_aligned_fpga_inference_time_s,full_application_latency_s,speedup_vs_vit4mal_fastest_0p81s,speedup_vs_vit4mal_best_1p48s,timing_protocol,notes
QKS-v2,Q16-QKSv2-S0,93.64%,0.962130,13322,147,12733,15,1006,0.001542,0.018530,0.0,0.1,Protocol 3 (Full Application) aligned with ViT4Mal Table 13 scope,Speedup uses Full Application Latency (same JPEG→preprocess→model→output scope as ViT4Mal). ViT4Mal-aligned model-only time is 1.44-1.54ms (not directly comparable; ViT4Mal does not publish model-only breakdown).
QKS-v2,Q16-QKSv2-S10,93.79%,0.963052,13344,147,12735,15,972,0.001543,0.018820,0.0,0.1,Protocol 3 (Full Application) aligned with ViT4Mal Table 13 scope,Speedup uses Full Application Latency (same JPEG→preprocess→model→output scope as ViT4Mal). ViT4Mal-aligned model-only time is 1.44-1.54ms (not directly comparable; ViT4Mal does not publish model-only breakdown).
QKS-v2,Q16-QKSv2-S20,94.11%,0.965054,13349,148,12779,15,948,0.001522,0.018550,0.0,0.1,Protocol 3 (Full Application) aligned with ViT4Mal Table 13 scope,Speedup uses Full Application Latency (same JPEG→preprocess→model→output scope as ViT4Mal). ViT4Mal-aligned model-only time is 1.44-1.54ms (not directly comparable; ViT4Mal does not publish model-only breakdown).
QKS-v2,Q16-QKSv2-S30,93.84%,0.963423,13347,148,12779,15,910,0.001458,0.018690,0.0,0.1,Protocol 3 (Full Application) aligned with ViT4Mal Table 13 scope,Speedup uses Full Application Latency (same JPEG→preprocess→model→output scope as ViT4Mal). ViT4Mal-aligned model-only time is 1.44-1.54ms (not directly comparable; ViT4Mal does not publish model-only breakdown).
ViT4Mal [2],ViT4Mal 1e2h (fastest),92.41%,—,16545,69,16911,92,—,—,0.81,1.0,0.55,Table 13,Fastest config
ViT4Mal [2],ViT4Mal 2e4h (best acc.),93.89%,—,16079,69,16356,84,—,—,1.48,0.55,1.0,Table 13,Best accuracy config
