stage,mean_ms,median_ms,p95_ms,p99_ms
read_decode,12.168376,11.819064,13.836859,14.205901
resize,2.661081,2.633022,2.752886,2.862455
normalize,0.574587,0.567513,0.665732,0.701801
patch,0.822784,0.811191,0.927386,0.971970
quantize,0.703638,0.694640,0.808274,0.859461
buffer_prep,0.342772,0.338055,0.358518,0.447262
kernel,0.989920,0.985606,1.000509,1.059167
readback,0.391704,0.383434,0.466045,0.540223
total,18.815277,18.472667,20.491532,21.021358
