metric,value
model_id,Q16-QKSv2-S20
code_name,q16_qksv2_d13
attn_dim,13
effective_sparsity,18.75%
accuracy,0.941057
precision,0.979385
recall,0.951137
f1,0.965054
prediction_match_rate,0.991580
fpga_kernel_latency_us,951.579
fpga_kernel_latency_p50_us,948.462
fpga_kernel_latency_p95_us,961.587
fpga_model_inference_time_s_mean,0.001502
fpga_model_inference_time_s_p50,0.001493
fpga_model_inference_time_s_p95,0.001546
fpga_model_inference_time_s_std,0.000045
fpga_model_inference_time_us_mean,1502.013
fpga_model_inference_time_us_p50,1492.997
fpga_model_inference_time_us_p95,1545.740
speedup_vs_vit4mal_0p81s,539.3
speedup_vs_vit4mal_1p48s,985.3
num_samples,3444
num_repeats,3
cold_start_ms,3171
